latitude,longitude,lease,operator,fake_number
31.628187,-95.488740,HUDDLESTON,BROWNING LANDON,77
31.787784,-95.465653,LASITER J,ROCK BOTTOM OIL GP LLC,22
31.624170,-95.512786,DOE-CO,WILSON DON H INCORPORATED,70
32.061678,-95.545158,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,78
32.055206,-95.544928,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,11
31.592374,-95.288751,TEMPLE-INLAND,WEATHERLY OIL & GAS COMPANY LLC,41
32.063883,-95.558025,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,73
31.592470,-95.304299,SPELLINGS GAS UNIT,WEATHERLY OIL & GAS COMPANY LLC,49
31.969183,-95.597362,HERRINGTON,JAMEX INCORPORATED,61
31.586360,-95.538520,LASSITER W H,CHESTNUT EXPLORATION & PROD INC,45
31.952603,-95.752383,HEMBY FAMILY TRUST,TRI-C RESOURCES LLC,94
31.593160,-95.525390,BEELER,CHESTNUT EXPLORATION & PROD INC,20
32.036886,-95.786475,NEWLAND JA,OBENCO INCORPORATED,21
32.005331,-95.688031,SUPERIOR UNIT,OBENCO INCORPORATED,15
32.000850,-95.748389,WOLF CREEK UNIT,OBENCO INCORPORATED,80
32.000908,-95.748436,GLAD OAKS UNIT,OBENCO INCORPORATED,59
32.205961,-102.554908,UNIVERSITY 9 AB,XTO ENERGY INCORPORATED,59
32.205961,-102.554908,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,86
32.198636,-102.552550,UNIVERSITY `9` AA,XTO ENERGY INCORPORATED,29
32.198636,-102.552550,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,8
32.403443,-102.727373,UNIVERSITY YZ,OXY USA WTP LP,26
32.225631,-102.464636,UNIVERSITY `F`,ELEVATION RESOURCES LLC,32
32.192786,-102.576799,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,64
32.191194,-102.585850,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,77
32.338602,-102.603442,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
32.460307,-102.773121,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,36
32.209255,-102.567759,UNIVERSITY `9-A`,XTO ENERGY INCORPORATED,16
32.209255,-102.567759,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,45
32.201760,-102.574500,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
32.196414,-102.578039,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
32.186251,-102.574100,UNIVERSITY 9 D,XTO ENERGY INCORPORATED,95
32.395772,-102.568915,WEST MEANS (GRAYBURG-SAN ANDRES) UNIT,THOMPSON J CLEO,91
32.207415,-102.559482,TEXAS L,XTO ENERGY INCORPORATED,31
32.195624,-102.566991,UNIVERSITY BLOCK 9 WOLFCAMP UNIT,XTO ENERGY INCORPORATED,74
32.205746,-102.584810,TEXAS `Q`,XTO ENERGY INCORPORATED,77
32.142531,-102.383427,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,48
32.334597,-102.619953,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,72
32.124620,-102.752840,UNIVERSITY 11-26,SHERIDAN PRODUCTION COMPANY LLC,39
32.410950,-102.774150,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,99
32.228568,-102.225224,MABEE UNIT,CHEVRON U S A INCORPORATED,65
32.194721,-102.223620,MABEE UNIT,CHEVRON U S A INCORPORATED,76
32.198310,-102.224573,MABEE UNIT,CHEVRON U S A INCORPORATED,16
32.212265,-102.246546,MABEE UNIT,CHEVRON U S A INCORPORATED,99
32.233110,-102.222109,MABEE UNIT,CHEVRON U S A INCORPORATED,91
32.230467,-102.216755,MABEE UNIT,CHEVRON U S A INCORPORATED,91
32.220368,-102.275425,MABEE J E `A` NCT-1,TEXACO EXPLORATION & PRODUCTION INC,47
32.187948,-102.567069,STATE OF TEXAS `BH`,XTO ENERGY INCORPORATED,50
32.406460,-102.777100,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,58
32.162576,-102.527306,STATE CR,XTO ENERGY INCORPORATED,33
32.158411,-102.530645,STATE OF TEXAS DD,XTO ENERGY INCORPORATED,95
32.327860,-102.742070,UNIVERSITY CONSOLIDATED XII,SHERIDAN PRODUCTION COMPANY LLC,64
32.223653,-103.045577,EVANS RUBE,DENTON RESOURCES LLC,51
32.203711,-102.241723,MABEE UNIT,CHEVRON U S A INCORPORATED,22
32.423544,-102.760303,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,42
32.468910,-102.793780,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,49
32.195673,-102.243380,MABEE UNIT,CHEVRON U S A INCORPORATED,27
32.202607,-102.245959,MABEE UNIT,CHEVRON U S A INCORPORATED,7
32.164076,-103.051189,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
32.145699,-102.384383,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,28
32.417770,-102.769830,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,93
32.224990,-102.644102,GRAY COLUMBUS ET AL,BREITBURN OPERATING LIMITED PARTNERSHIP,13
32.200483,-102.692271,TEXAS UNIVERSITY CONS,THOMPSON J CLEO,20
32.163421,-103.055313,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,6
32.188688,-102.575710,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,71
32.123922,-103.047152,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,90
32.187778,-102.579722,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,39
32.430440,-102.865261,RALPH A,DEVON ENERGY PRODUCTION COMPANY L P,91
32.216491,-102.228096,MABEE UNIT,CHEVRON U S A INCORPORATED,88
32.167444,-103.051028,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,56
32.167154,-103.055651,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,20
32.198666,-102.246426,MABEE UNIT,CHEVRON U S A INCORPORATED,2
32.210909,-102.234793,MABEE UNIT,CHEVRON U S A INCORPORATED,30
32.199624,-102.242549,MABEE UNIT,CHEVRON U S A INCORPORATED,61
32.209550,-102.249790,MABEE UNIT,CHEVRON U S A INCORPORATED,94
32.206681,-102.244635,MABEE UNIT,CHEVRON U S A INCORPORATED,3
32.247039,-102.224449,MABEE UNIT,CHEVRON U S A INCORPORATED,93
32.214695,-102.236078,MABEE UNIT,CHEVRON U S A INCORPORATED,26
32.236921,-102.251995,MABEE UNIT,CHEVRON U S A INCORPORATED,29
32.231551,-102.259425,MABEE UNIT,CHEVRON U S A INCORPORATED,68
32.456945,-102.808068,BITLER,CONOCOPHILLIPS COMPANY,8
32.479472,-102.800075,BITLER DEEP,CONOCOPHILLIPS COMPANY,83
32.184995,-102.574448,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,7
32.184615,-102.762583,GOLDSMITH NORTH (SAN ANDRES CONSOL) UT,PECOS OPERATING COMPANY LLC,84
32.143133,-102.381540,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,46
32.185457,-103.051410,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,62
32.117411,-103.042878,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,99
32.161736,-102.910071,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,12
32.491930,-102.807506,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,89
32.350862,-102.661250,UNIVERSITY `9-14`,BIG D ENERGY COMPANY,84
