latitude,longitude,altitude,geometry,uwi,lease,operator,fake_number
31.628187,-95.48874,,Point,4.20E+13,HUDDLESTON,BROWNING LANDON,77
31.787784,-95.465653,,Point,4.20E+13,LASITER J,ROCK BOTTOM OIL GP LLC,22
31.62417,-95.512786,,Point,4.20E+13,DOE-CO,WILSON DON H INCORPORATED,70
32.061678,-95.545158,,Point,4.20E+13,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,78
32.055206,-95.544928,,Point,4.20E+13,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,11
31.592374,-95.288751,,Point,4.20E+13,TEMPLE-INLAND,WEATHERLY OIL & GAS COMPANY LLC,41
32.063883,-95.558025,,Point,4.20E+13,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,73
31.59247,-95.304299,,Point,4.20E+13,SPELLINGS GAS UNIT,WEATHERLY OIL & GAS COMPANY LLC,49
31.969183,-95.597362,,Point,4.20E+13,HERRINGTON,JAMEX INCORPORATED,61
31.58636,-95.53852,,Point,4.20E+13,LASSITER W H,CHESTNUT EXPLORATION & PROD INC,45
31.952603,-95.752383,,Point,4.20E+13,HEMBY FAMILY TRUST,TRI-C RESOURCES LLC,94
31.59316,-95.52539,,Point,4.20E+13,BEELER,CHESTNUT EXPLORATION & PROD INC,20
32.036886,-95.786475,,Point,4.20E+13,NEWLAND JA,OBENCO INCORPORATED,21
32.005331,-95.688031,,Point,4.20E+13,SUPERIOR UNIT,OBENCO INCORPORATED,15
32.00085,-95.748389,,Point,4.20E+13,WOLF CREEK UNIT,OBENCO INCORPORATED,80
32.000908,-95.748436,,Point,4.20E+13,GLAD OAKS UNIT,OBENCO INCORPORATED,59
32.205961,-102.554908,,Point,4.20E+13,UNIVERSITY 9 AB,XTO ENERGY INCORPORATED,59
32.205961,-102.554908,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,86
32.198636,-102.55255,,Point,4.20E+13,UNIVERSITY `9` AA,XTO ENERGY INCORPORATED,29
32.198636,-102.55255,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,8
32.403443,-102.727373,,Point,4.20E+13,UNIVERSITY YZ,OXY USA WTP LP,26
32.225631,-102.464636,,Point,4.20E+13,UNIVERSITY `F`,ELEVATION RESOURCES LLC,32
32.192786,-102.576799,,Point,4.20E+13,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,64
32.191194,-102.58585,,Point,4.20E+13,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,77
32.338602,-102.603442,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
32.460307,-102.773121,,Point,4.20E+13,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,36
32.209255,-102.567759,,Point,4.20E+13,UNIVERSITY `9-A`,XTO ENERGY INCORPORATED,16
32.209255,-102.567759,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,45
32.20176,-102.5745,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
32.196414,-102.578039,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
32.186251,-102.5741,,Point,4.20E+13,UNIVERSITY 9 D,XTO ENERGY INCORPORATED,95
32.395772,-102.568915,,Point,4.20E+13,WEST MEANS (GRAYBURG-SAN ANDRES) UNIT,THOMPSON J CLEO,91
32.207415,-102.559482,,Point,4.20E+13,TEXAS L,XTO ENERGY INCORPORATED,31
32.195624,-102.566991,,Point,4.20E+13,UNIVERSITY BLOCK 9 WOLFCAMP UNIT,XTO ENERGY INCORPORATED,74
32.205746,-102.58481,,Point,4.20E+13,TEXAS `Q`,XTO ENERGY INCORPORATED,77
32.142531,-102.383427,,Point,4.20E+13,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,48
32.334597,-102.619953,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,72
32.12462,-102.75284,,Point,4.20E+13,UNIVERSITY 11-26,SHERIDAN PRODUCTION COMPANY LLC,39
32.41095,-102.77415,,Point,4.20E+13,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,99
32.228568,-102.225224,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,65
32.194721,-102.22362,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,76
32.19831,-102.224573,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,16
